-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     234.586ms        42.99%     234.586ms      78.195ms           0 B           0 B           0 B           0 B             3            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     157.317ms        28.83%     157.317ms      52.439ms           0 B           0 B           0 B           0 B             3            --  
                                               aten::mm         2.88%      32.475ms         3.91%      44.117ms      24.883us     156.397ms        28.66%     156.397ms      88.210us           0 B           0 B      12.30 GB      12.30 GB          1773  21970368331.776  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      53.611ms         9.82%      53.611ms      90.712us           0 B           0 B           0 B           0 B           591            --  
                                            aten::copy_         1.93%      21.799ms         4.45%      50.138ms      11.845us      52.458ms         9.61%      52.458ms      12.393us           0 B           0 B           0 B           0 B          4233            --  
                                              aten::mul         3.99%      44.997ms         6.11%      68.868ms      15.942us      44.798ms         8.21%      44.798ms      10.370us           0 B           0 B      37.30 GB      37.30 GB          4320   9919770.624  
                        aten::_flash_attention_backward         0.34%       3.877ms         1.21%      13.626ms     162.211us      32.562ms         5.97%      34.321ms     408.580us           0 B           0 B       1.31 GB      -2.64 GB            84            --  
                                    aten::_foreach_mul_         0.05%     524.279us         0.08%     859.187us     143.198us      31.841ms         5.83%      31.841ms       5.307ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      31.841ms         5.83%      31.841ms       1.061ms           0 B           0 B           0 B           0 B            30            --  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us      30.924ms         5.67%      30.924ms     368.138us           0 B           0 B           0 B           0 B            84            --  
                                aten::_foreach_addcdiv_         0.04%     432.459us         0.05%     561.470us     187.157us      30.736ms         5.63%      30.736ms      10.245ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      30.736ms         5.63%      30.736ms       2.049ms           0 B           0 B           0 B           0 B            15            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      28.925ms         5.30%      28.925ms      57.392us           0 B           0 B           0 B           0 B           504            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      25.077ms         4.60%      25.077ms      99.513us           0 B           0 B           0 B           0 B           252            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.890ms         4.56%      24.890ms      13.403us           0 B           0 B           0 B           0 B          1857            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.580ms         4.32%      23.580ms      11.627us           0 B           0 B           0 B           0 B          2028            --  
                                   aten::_foreach_lerp_         0.03%     342.245us         0.04%     470.773us     156.924us      23.445ms         4.30%      23.445ms       7.815ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.445ms         4.30%      23.445ms       1.563ms           0 B           0 B           0 B           0 B            15            --  
                                aten::_foreach_addcmul_         0.04%     408.516us         0.05%     531.702us     177.234us      23.444ms         4.30%      23.444ms       7.815ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.444ms         4.30%      23.444ms       1.563ms           0 B           0 B           0 B           0 B            15            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      22.417ms         4.11%      22.417ms      14.709us           0 B           0 B           0 B           0 B          1524            --  
                                             aten::add_         0.61%       6.888ms         1.12%      12.587ms       6.207us      19.152ms         3.51%      19.152ms       9.444us           0 B           0 B           0 B           0 B          2028            --  
                       aten::_log_softmax_backward_data         0.01%     109.572us         0.01%     158.496us      52.832us      16.206ms         2.97%      16.206ms       5.402ms           0 B           0 B       3.48 GB       3.48 GB             3            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.206ms         2.97%      16.206ms       5.402ms           0 B           0 B           0 B           0 B             3            --  
                                    aten::_foreach_div_         0.02%     235.875us         0.03%     363.986us     121.329us      15.932ms         2.92%      15.932ms       5.311ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.932ms         2.92%      15.932ms       1.062ms           0 B           0 B           0 B           0 B            15            --  
                                    aten::_foreach_add_         0.15%       1.688ms         0.25%       2.762ms     460.282us      15.931ms         2.92%      15.931ms       2.655ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.931ms         2.92%      15.931ms       1.062ms           0 B           0 B           0 B           0 B            15            --  
                                    aten::_foreach_sqrt         0.18%       1.996ms         0.57%       6.455ms       2.152ms      15.916ms         2.92%      15.916ms       5.305ms           0 B           0 B       6.66 GB           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.916ms         2.92%      15.916ms       1.061ms           0 B           0 B           0 B           0 B            15            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.127s
Self CUDA time total: 545.720ms
